Rank,Link,Title,Score,Description,Year Premiered,Episodes,Popularity,Genre,Status,Source,Rating,Aired,neg,neu,pos,compound
22.0,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,Kusuriya no Hitorigoto,8.89,"Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the limelight, attempts to leave an anonymous tip. Unfortunately, the dashing and perceptive eunuch Jinshi sees through it and manages to single her out.In recognition of her talent, Maomao is promoted to lady-in-waiting for the emperor's favorite concubine, Gyokuyou. As Maomao continues to remedy the numerous ailments afflicting the imperial court, her pharmaceutical expertise quickly proves indispensable.[Written by MAL Rewrite]",2023.0,24,514,"Drama, Mystery",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Oct 22, 2023 to Mar 24, 2024",0.114,0.769,0.117,0.3612
23.0,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.89,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process.As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people.The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom.[Written by MAL Rewrite]",,2,309,"Action, Drama, Suspense",Finished Airing,Manga,R - 17+ (violence & profanity),"Mar 4, 2023 to Nov 5, 2023",0.12,0.747,0.134,0.3818
24.0,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,"Following the temporary retreat of the Altana Liberation Army from the Kabuki District, the state of the war has seemingly improved. However, as the Oniwaban, Shinsengumi, and residents of the district combat the army's remnants, Edo's greatest inventor Gengai Hiraga is abducted. Responsible for causing the enemy's withdrawal by rendering their weapons useless, Gengai's nanomachine virus is now at risk of being shut down.Meanwhile, a laser capable of obliterating a planet is activated in Earth's orbit on the Liberation Army's mother ship. Another battle ensues when Shinsuke Takasugi and the rest of the Kiheitai arrive on the vessel to stop the weapon from firing. Forced to fight a war on two fronts, the Yorozuya and their allies must prevail on both sides to save Edo and the rest of the world.[Written by MAL Rewrite]",2018.0,14,1214,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 9, 2018 to Oct 8, 2018",0.219,0.67,0.111,-0.9517
25.0,https://myanimelist.net/anime/19/Monster,Monster,8.88,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.[Written by MAL Rewrite]",2004.0,74,126,"Drama, Mystery, Suspense",Finished Airing,Manga,R+ - Mild Nudity,"Apr 7, 2004 to Sep 28, 2005",0.162,0.806,0.033,-0.9902
26.0,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Owarimonogatari 2nd Season,8.87,"Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.[Written by MAL Rewrite]",,7,580,"Comedy, Mystery, Supernatural",Finished Airing,Light novel,R - 17+ (violence & profanity),"Aug 12, 2017 to Aug 13, 2017",0.045,0.867,0.088,0.6369
27.0,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Violet Evergarden Movie,8.86,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.Violet Evergarden Moviefollows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.[Written by MAL Rewrite]",,1,349,"Award Winning, Drama, Fantasy",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Sep 18, 2020",0.039,0.786,0.176,0.9648
28.0,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Kimi no Na wa.,8.83,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.Kimi no Na wa.revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.[Written by MAL Rewrite]",,1,11,"Award Winning, Drama, Supernatural",Finished Airing,Original,PG-13 - Teens 13 or older,"Aug 26, 2016",0.03,0.921,0.05,0.4389
29.0,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Kingdom 3rd Season,8.82,"Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map.[Written by MAL Rewrite]",2020.0,26,2036,,Finished Airing,Manga,R - 17+ (violence & profanity),"Apr 6, 2020 to Oct 17, 2021",0.037,0.889,0.073,0.534
30.0,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,Boku no Kokoro no Yabai Yatsu 2nd Season,8.82,"After an eventful winter break, Kyoutarou Ichikawa and Anna Yamada reunite with a stronger bond. They continue to grow in their own ways, with Yamada taking on more challenging photoshoots and Ichikawa maturing both physically and emotionally as he tackles his affections for Yamada. However, spending time together outside of school allows for their relationship to deepen, and it becomes increasingly difficult to deny their budding romantic feelings.Grappling with these unexpected and new emotions, Ichikawa and Yamada realize that, with the passage of time, their relationship is bound to change—and they must ultimately decide whether they wish to remain close friends or finally become a couple.[Written by MAL Rewrite]",2024.0,13,1231,"Comedy, Romance",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jan 7, 2024 to Mar 31, 2024",0.041,0.829,0.13,0.8622
31.0,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,Gintama.: Shirogane no Tamashii-hen,8.81,"After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu’s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet—and himself—is nearly complete.An attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule.Caught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear?[Written by MAL Rewrite]",2018.0,12,1149,"Action, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jan 8, 2018 to Mar 26, 2018",0.141,0.773,0.085,-0.8068
32.0,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,Vinland Saga Season 2,8.81,"After his father's death and the destruction of his village at the hands of English raiders, Einar wishes for a peaceful life with his family on their newly rebuilt farms. However, fate has other plans: his village is invaded once again. Einar watches helplessly as the marauding Danes burn his lands and slaughter his family. The invaders capture Einar and take him back to Denmark as a slave.Einar clings to his mother's final words to survive. He is purchased by Ketil, a kind slave owner and landlord who promises that Einar can regain his freedom in return for working in the fields. Soon, Einar encounters his new partner in farm cultivation—Thorfinn, a dejected and melancholic slave. As Einar and Thorfinn work together toward their freedom, they are haunted by both sins of the past and the ploys of the present. Yet they carry on, grasping for a glimmer of hope, redemption, and peace in a world that is nothing but unjust and unforgiving.[Written by MAL Rewrite]",2023.0,24,339,"Action, Adventure, Drama",Finished Airing,Manga,R - 17+ (violence & profanity),"Jan 10, 2023 to Jun 20, 2023",0.077,0.808,0.114,0.7617
33.0,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Jujutsu Kaisen 2nd Season,8.81,"The year is 2006, and the halls of Tokyo Prefectural Jujutsu High School echo with the endless bickering and intense debate between two inseparable best friends. Exuding unshakeable confidence, Satoru Gojou and Suguru Getou believe there is no challenge too great for young and powerful Special Grade sorcerers such as themselves. They are tasked with safely delivering a sensible girl named Riko Amanai to the entity whose existence is the very essence of the jujutsu world. However, the mission plunges them into an exhausting swirl of moral conflict that threatens to destroy the already feeble amity between sorcerers and ordinary humans.Twelve years later, students and sorcerers are the frontline defense against the rising number of high-level curses born from humans' negative emotions. As the entities grow in power, their self-awareness and ambition increase too. The curses unite for the common goal of eradicating humans and creating a world of only cursed energy users, led by a dangerous, ancient cursed spirit. To dispose of their greatest obstacle—the strongest sorcerer, Gojou—they orchestrate an attack at Shibuya Station on Halloween. Dividing into teams, the sorcerers enter the fight prepared to risk everything to protect the innocent and their own kind.[Written by MAL Rewrite]",2023.0,23,158,"Action, Fantasy",Finished Airing,Manga,R - 17+ (violence & profanity),"Jul 6, 2023 to Dec 28, 2023",0.121,0.672,0.207,0.9531
34.0,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Mob Psycho 100 II,8.79,"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.[Written by MAL Rewrite]",2019.0,13,73,"Action, Comedy, Supernatural",Finished Airing,Web manga,PG-13 - Teens 13 or older,"Jan 7, 2019 to Apr 1, 2019",0.115,0.823,0.062,-0.7579
35.0,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Kizumonogatari III: Reiketsu-hen,8.78,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power.Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…[Written by MAL Rewrite]",,1,489,"Action, Mystery, Supernatural",Finished Airing,Light novel,R - 17+ (violence & profanity),"Jan 6, 2017",0.089,0.75,0.162,0.939
36.0,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Bocchi the Rock!,8.78,"Yearning to make friends and perform live with a band, lonely and socially anxious Hitori ""Bocchi"" Gotou devotes her time to playing the guitar. On a fateful day, Bocchi meets the outgoing drummer Nijika Ijichi, who invites her to join Kessoku Band when their guitarist, Ikuyo Kita, flees before their first show. Soon after, Bocchi meets her final bandmate—the cool bassist Ryou Yamada.Although their first performance together is subpar, the girls feel empowered by their shared love for music, and they are soon rejoined by Kita. Finding happiness in performing, Bocchi and her bandmates put their hearts into improving as musicians while making the most of their fleeting high school days.[Written by MAL Rewrite]",2022.0,12,369,,Finished Airing,4-koma manga,PG-13 - Teens 13 or older,"Oct 9, 2022 to Dec 25, 2022",0.047,0.737,0.216,0.9661
37.0,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,"After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces.Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season ofHaikyuu!!.[Written by MAL Rewrite]",2016.0,10,115,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Oct 8, 2016 to Dec 10, 2016",0.052,0.803,0.146,0.8975
38.0,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,Shingeki no Kyojin: The Final Season,8.78,"Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.InShingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.[Written by MAL Rewrite]",2021.0,16,34,"Action, Drama, Suspense",Finished Airing,Manga,R - 17+ (violence & profanity),"Dec 7, 2020 to Mar 29, 2021",0.09,0.831,0.079,-0.1552
39.0,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.77,"After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love.[Written by MAL Rewrite]",,1,891,"Comedy, Drama, Romance",Finished Airing,Manga,PG-13 - Teens 13 or older,"Dec 17, 2022",0.132,0.739,0.129,0.1725
40.0,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Sen to Chihiro no Kamikakushi,8.77,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.Vivid and intriguing,Sen to Chihiro no Kamikakushitells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.[Written by MAL Rewrite]",,1,44,"Adventure, Award Winning, Supernatural",Finished Airing,Original,PG - Children,"Jul 20, 2001",0.086,0.809,0.105,0.4256
41.0,https://myanimelist.net/anime/263/Hajime_no_Ippo,Hajime no Ippo,8.77,"In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business.Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world.[Written by MAL Rewrite]",2000.0,75,365,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Oct 4, 2000 to Mar 27, 2002",0.103,0.743,0.154,0.91
42.0,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,Shingeki no Kyojin: The Final Season Part 2,8.76,"Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.[Written by MAL Rewrite]",2022.0,12,102,"Action, Drama, Suspense",Finished Airing,Manga,R - 17+ (violence & profanity),"Jan 10, 2022 to Apr 4, 2022",0.147,0.787,0.066,-0.93
43.0,https://myanimelist.net/anime/37521/Vinland_Saga,Vinland Saga,8.76,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.[Written by MAL Rewrite]",2019.0,24,74,"Action, Adventure, Drama",Finished Airing,Manga,R - 17+ (violence & profanity),"Jul 8, 2019 to Dec 30, 2019",0.203,0.697,0.1,-0.9819
44.0,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,Monogatari Series: Second Season,8.76,"Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cute admirer Nadeko Sengoku; and Hitagi Senjougahara, Koyomi's eclectic girlfriend.A new semester has begun and with graduation looming over Koyomi, he must quickly decide the paths he will walk, as well as the relationships he will form and friends that he will save. But as strange events begin to unfold, Koyomi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she quickly finds she must fend for herself.[Written by MAL Rewrite]",2013.0,26,308,"Comedy, Mystery, Romance, Supernatural",Finished Airing,Light novel,R - 17+ (violence & profanity),"Jul 7, 2013 to Dec 29, 2013",0.052,0.847,0.101,0.5106
45.0,https://myanimelist.net/anime/1/Cowboy_Bebop,Cowboy Bebop,8.75,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.[Written by MAL Rewrite]",1998.0,26,43,"Action, Award Winning, Sci-Fi",Finished Airing,Original,R - 17+ (violence & profanity),"Apr 3, 1998 to Apr 24, 1999",0.19,0.745,0.064,-0.9769
46.0,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,The First Slam Dunk,8.75,"Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.(Source: GKIDS, edited)",,1,3238,"Award Winning, Sports",Finished Airing,Manga,PG-13 - Teens 13 or older,"Dec 3, 2022",0.0,0.896,0.104,0.872
47.0,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,Kimetsu no Yaiba: Yuukaku-hen,8.74,"The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Hashira, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank Demon.[Written by MAL Rewrite]",2022.0,11,82,"Action, Fantasy",Finished Airing,Manga,R - 17+ (violence & profanity),"Dec 5, 2021 to Feb 13, 2022",0.162,0.752,0.085,-0.8806
48.0,https://myanimelist.net/anime/50160/Kingdom_4th_Season,Kingdom 4th Season,8.74,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force.[Written by MAL Rewrite]",2022.0,26,2715,,Finished Airing,Manga,R - 17+ (violence & profanity),"Apr 10, 2022 to Oct 2, 2022",0.125,0.792,0.082,-0.8225
49.0,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,Hibike! Euphonium 3,8.74,"With the ensemble contest behind them, the members of the Kitauji High School concert band now aim to win a gold medal at the national competition. For third-year club president Kumiko Oumae and her friends, it is their last chance before graduation. Filled with anticipation and anxiety, Kumiko worries if she can successfully lead the band.Amid her struggles, Kumiko encounters transfer student Mayu Kuroe. From her gentle demeanor to her talented euphonium skills, Mayu was a member of the Seira Girls' School concert band—a regular at nationals. While Mayu is friendly, Kumiko cannot help but have an indescribable feeling from their meeting.As new members arrive and plans are set in motion, the club, with an insatiable hunger for a gold medal, learns what it truly takes to propel themselves to reach the national level.[Written by MAL Rewrite]",2024.0,13,2662,,Finished Airing,Novel,PG-13 - Teens 13 or older,"Apr 7, 2024 to Jun 30, 2024",0.059,0.756,0.185,0.9457
50.0,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,Ashita no Joe 2,8.73,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.",1980.0,47,3064,"Drama, Sports",Finished Airing,Manga,PG-13 - Teens 13 or older,"Oct 13, 1980 to Aug 31, 1981",0.114,0.814,0.073,-0.7096
1.0,https://myanimelist.net/anime/52991/Sousou_no_Frieren,Sousou no Frieren,9.34,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.[Written by MAL Rewrite]",2023.0,28,220,"Adventure, Drama, Fantasy",Finished Airing,Manga,PG-13 - Teens 13 or older,"Sep 29, 2023 to Mar 22, 2024",0.055,0.796,0.149,0.9432
